,wt_b,wt_b_genes,b,b_genes,wt,wt_genes,a,a_genes
0,27.852582235118536,PA14_03410,11.51180114740435,PA14_03410,24.56740483849378,PA14_03410,50.874432362543814,PA14_07470
1,44.94059240698583,PA14_07470,37.79130271523223,PA14_07470,50.27729549696591,PA14_07470,1190.3136688981986,PA14_08580
2,1761.065305539039,PA14_08580,16.22523113507415,PA14_08110,2115.639168664903,PA14_08580,106.98469934458143,PA14_08590
3,258.48894196712115,PA14_08590,1178.321467746778,PA14_08580,224.8350936239663,PA14_08590,1105.451676072271,PA14_08660
4,1871.7210110902874,PA14_08660,154.11612864716852,PA14_08590,1317.089587565914,PA14_08660,717.841885119862,PA14_08670
5,1452.7469103829944,PA14_08670,722.9054630071637,PA14_08660,1036.2374864860474,PA14_08670,2236.3143090453254,PA14_08690
6,1933.39330112199,PA14_08690,587.0654648170155,PA14_08670,2368.4866936702037,PA14_08690,204.33422726027547,PA14_20500
7,284.17265628404937,PA14_20500,1344.7265388611045,PA14_08690,223.81910059837054,PA14_20500,1590.7711429686271,PA14_21800
8,1859.8251753078819,PA14_21800,148.1652391857256,PA14_20500,2047.8004850230814,PA14_21800,1003.3786221027048,PA14_21810
9,1188.5486836993532,PA14_21810,835.219018569018,PA14_21800,1484.4205213481428,PA14_21810,756.3821378849074,PA14_23490
10,793.0852761633283,PA14_23490,644.4731326398379,PA14_21810,754.2914029544206,PA14_23490,845.0237505409087,PA14_23570
11,1035.8603925243501,PA14_23570,418.1096651110942,PA14_23490,1135.2415595467985,PA14_23570,1469.370057129739,PA14_23580
12,2632.292223333604,PA14_23580,563.3059555080139,PA14_23570,1703.4380409699068,PA14_23580,18.264228372356314,PA14_24870
13,10.764576919571013,PA14_24870,1136.1717904460324,PA14_23580,18.139926412171253,PA14_24870,495.90781604015945,PA14_28740
14,981.9104159726818,PA14_27610,412.82958862092966,PA14_27610,694.0280444471823,PA14_27610,394.10682551301403,PA14_41330
15,689.402482857396,PA14_28740,368.9131152721445,PA14_28740,600.8976250221751,PA14_28740,735.6889143299286,PA14_41340
16,12.433237413433304,PA14_30890,264.9933281000072,PA14_41330,11.858823491197464,PA14_30720,405.66888784587746,PA14_51660
17,656.5148132485986,PA14_41200,526.5901608081967,PA14_41340,498.17231536469166,PA14_41330,1455.0312285603475,PA14_52540
18,501.2643341491857,PA14_41330,283.47290151489966,PA14_51660,1172.9427350880458,PA14_41340,413.22502898662503,PA14_54840
19,1155.6609753262996,PA14_41340,1207.2292014880247,PA14_52540,1543.5931025461541,PA14_52540,14.488963749931909,PA14_58710
20,547.8573444774796,PA14_51660,224.76400932180593,PA14_54840,470.10122345289045,PA14_54840,98.83062101404485,PA14_60620
21,1853.8282914877632,PA14_52540,127.14165571584081,PA14_60620,198.1091633611798,PA14_60620,1019.194686069746,PA14_61760
22,528.0683096231824,PA14_54840,568.5071703723788,PA14_61760,1136.059523777881,PA14_61760,37.4467050914306,PA14_61830
23,116.2569589959888,PA14_58710,14.139751135169202,PA14_61830,18.139926412171253,PA14_61830,1558.6035891502706,PA14_62790
24,188.96806097993823,PA14_60620,999.6212761783476,PA14_62790,1575.7259182988748,PA14_62790,14.488963749931909,PA14_68030
25,1055.3325645813006,PA14_61760,19.479533720844223,PA14_68030,24.67486750847072,PA14_68030,,
26,22.970296252437155,PA14_61830,,,13.913566191406435,PA14_68150,,
27,1482.7728618038745,PA14_62790,,,,,,
28,30.427305332785,PA14_68030,,,,,,
29,15.713652386867073,PA14_68150,,,,,,
