,wt_b,wt_b_genes,a,a_genes,wt,wt_genes,b,b_genes
0,191.75177856071977,PA14_03410,66.55013883671333,PA14_03410,195.89589149820782,PA14_03410,168.74180137934377,PA14_03410
1,264.4191761521025,PA14_07470,52.645560801466594,PA14_07470,266.21916968195217,PA14_07470,150.50900171634893,PA14_07470
2,1645.0988814124617,PA14_08580,34.76825351168221,PA14_08580,1980.0967497866998,PA14_08580,19.108543646359234,PA14_08110
3,261.0579006370437,PA14_08590,613.5957290510241,PA14_08590,257.33655346005656,PA14_08590,1133.2577037914195,PA14_08580
4,3343.3334775687667,PA14_08660,1225.2135039403165,PA14_08660,27.297666077310627,PA14_08610,110.89570403724886,PA14_08590
5,2172.711379435043,PA14_08670,1653.2126295492087,PA14_08670,2477.6141371824106,PA14_08660,10.28037378295931,PA14_08610
6,1965.121107103445,PA14_08690,493.8701911459939,PA14_08690,1684.3434596873278,PA14_08670,1815.9256076909255,PA14_08660
7,300.75283785465507,PA14_20500,12.78554530440138,PA14_12910,2380.6909658696777,PA14_08690,1059.6622552414963,PA14_08670
8,1741.5628030972264,PA14_21800,36.75461760602381,PA14_20500,252.15445248556972,PA14_20500,2252.0296807806185,PA14_08690
9,1196.6809363225302,PA14_21810,58.86734562111824,PA14_21800,1930.5879553381712,PA14_21800,236.2031964246076,PA14_20500
10,1086.8557645161338,PA14_23490,373.665142069474,PA14_21810,1456.349815448712,PA14_21810,1534.045434532015,PA14_21800
11,981.9201188893593,PA14_23570,180.5882745448141,PA14_23490,1228.186033511923,PA14_23490,1004.4808948345037,PA14_21810
12,2587.892453861403,PA14_23580,292.3321490699984,PA14_23570,1056.621838077466,PA14_23570,1142.083905488004,PA14_23490
13,718.5902390887942,PA14_24870,507.8379980259037,PA14_23580,1718.6569532584335,PA14_23580,812.3966138487591,PA14_23570
14,1093.6994436135212,PA14_27610,342.65534567603135,PA14_24870,740.3986010869072,PA14_24870,1592.6559669253618,PA14_23580
15,21.437694077522504,PA14_28190,420.12360626322635,PA14_28740,675.1448560750713,PA14_27610,642.0583680470745,PA14_27610
16,732.2153100342937,PA14_28740,53.35122067720489,PA14_30720,666.0569465498112,PA14_28740,540.6911447323994,PA14_28740
17,60.848954470840965,PA14_30720,186.57462000330753,PA14_41330,66.17404030654392,PA14_30720,26.87470466898873,PA14_30720
18,16.19382321469521,PA14_30890,159.90944323543704,PA14_41340,489.45230562630337,PA14_41330,387.4665235637751,PA14_41330
19,619.7319737109001,PA14_41200,13.181605050610523,PA14_48380,1104.0706967815008,PA14_41340,708.4331604712272,PA14_41340
20,491.4601014787303,PA14_41330,23.47072111031687,PA14_48900,1457.6960051068945,PA14_52540,2023.0813463092281,PA14_51660
21,1081.9266222279116,PA14_41340,1142.383641327934,PA14_51660,640.520243092966,PA14_54840,10.139048043289698,PA14_52320
22,2357.4900849792352,PA14_51660,972.3337938584921,PA14_52540,11.0919875800963,PA14_58710,1386.6932757909199,PA14_52540
23,31.12577641577103,PA14_52320,41.270167309663215,PA14_54840,187.85892998304536,PA14_60620,512.9495618200833,PA14_54840
24,1742.745877598872,PA14_52540,44.89936067791636,PA14_58710,1083.7111454127005,PA14_61760,19.315950776918278,PA14_58710
25,693.8665163352196,PA14_54840,171.82767621207068,PA14_60620,175.80351016020688,PA14_61830,31.336955084217333,PA14_58940
26,112.77930253796941,PA14_58710,658.4668223581699,PA14_61760,1482.524609153402,PA14_62790,92.16405652459176,PA14_60620
27,182.66840509020193,PA14_60620,34.76825351168221,PA14_61830,10.165613720865851,PA14_64260,985.3458368145776,PA14_61760
28,990.9506497222281,PA14_61760,294.9805083368431,PA14_62790,142.2878196848169,PA14_68030,157.8021676602314,PA14_61830
29,189.48091762527142,PA14_61830,38.91308289631503,PA14_68030,21.183976470992295,PA14_68150,1485.1280368122782,PA14_62790
30,1378.8039703959416,PA14_62790,16.963405709683304,PA14_68150,,,19.298138884019345,PA14_64260
31,13.430860931630528,PA14_64260,,,,,116.39048875525701,PA14_68030
32,233.68335900609316,PA14_68030,,,,,17.484357361264085,PA14_68150
33,37.49935888668512,PA14_68150,,,,,,
