Index,Unnamed: 0,Assay.Type,BioSample,Center.Name,Consent,Experiment,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample.Name,SRA_study,BioProject,DATASTORE.filetype,DATASTORE.provider,DATASTORE.region,AvgSpotLen,Bases,Bytes,source_name,GEO_Accession..exp.,Strain,Library.Name,SAMPLE_TYPE,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Collection_Date,Isolation_Source,BioSampleModel,Isolate,infection_side,Host,growth_condition,geographical_location,collected_by,lat_lon,host_disease,ENA.FIRST.PUBLIC..run.,ENA.LAST.UPDATE..run.,Genotype,genotype.variation,Replicate,specific_host,Sample_Name,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,SRA_accession,TITLE,AssemblyName,Alias,ENA_checklist,Location,INSDC_center_alias,Description,TREATMENT,growth_time,body_site,organism,strain_background,Time_point,analysis_type..exp.,analysis_type..run.,flowcell_barcode..run.,geographic_location_.country_and.or_sea,X_region.,gssr_id..exp.,gssr_id..run.,instrument_name..run.,isolation.source,lane..run.,library_type..exp.,library_type..run.,lsid..exp.,lsid..run.,material_type..exp.,product_order..exp.,product_order..run.,product_part_number..exp.,product_part_number..run.,project..exp.,project..run.,read_group_id..run.,research_project..exp.,research_project..run.,run_barcode..run.,run_name..run.,work_request..exp.,work_request..run.,Broker_name,growth_phase,ENA_first_public,ENA.LAST.UPDATE,Cell_type,culture_type,culture_collection,Time,phage,Biomaterial_provider,phase_of_infection,antibiotic,environmental_condition,Timepoint,growth_medium,Condition,exposed_to,Passages,media,agent,TISSUE,Phenotype,exposure,protocol,susceptibility,organism_part,fraction,stimulus,Replica,carbon_source,TaxID,medium,Cell_Line,taxonomy_id,cultivation_condition,number_of_cells,treatment_duration,treatment_type,genetic_background,plasmid,Biological_Replicate,depletion_method,growth_stage,host_or_sample_description,Tax_ID,Technical_replicate,treated,dangling_references..run.,ID,Incubation_time,molecule_subtype,geographic_location_.country_and.or_sea.,host_health_state,host_scientific_name,Treatment
SRR11541077,1624,RNA-Seq,SAMN14592843,GEO,public,SRX8111310,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa PA14,ILLUMINA,2020-04-15T00:00:00Z,GSM4474672,SRP256305,PRJNA625101,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",74.0,702681845.0,309718633.0,single species colony biofilm,GSM4474672,PA14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,652611,,,,,,,,,,,,,,,,,,,,,,SAMN14592843
SRR11541084,1625,RNA-Seq,SAMN14592835,GEO,public,SRX8111317,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa,ILLUMINA,2020-04-15T00:00:00Z,GSM4474679,SRP256305,PRJNA625101,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",75.0,2612974134.0,1098823540.0,dual species colony biofilm,GSM4474679,PA14 and CAF2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"652,611,237,561",,,,,,,,,,,,,,,,,,,,,,SAMN14592835
SRR11541086,1626,RNA-Seq,SAMN14592833,GEO,public,SRX8111319,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa,ILLUMINA,2020-04-15T00:00:00Z,GSM4474681,SRP256305,PRJNA625101,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",75.0,2211103125.0,930442452.0,dual species colony biofilm,GSM4474681,PA14 and CAF2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"652,611,237,561",,,,,,,,,,,,,,,,,,,,,,SAMN14592833
SRR11541087,1627,RNA-Seq,SAMN14592832,GEO,public,SRX8111320,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa,ILLUMINA,2020-04-15T00:00:00Z,GSM4474682,SRP256305,PRJNA625101,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",75.0,2545347864.0,1075953372.0,dual species colony biofilm,GSM4474682,PA14 and CAF2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"652,611,237,561",,,,,,,,,,,,,,,,,,,,,,SAMN14592832
SRR11541089,1628,RNA-Seq,SAMN14592842,GEO,public,SRX8111322,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa,ILLUMINA,2020-04-15T00:00:00Z,GSM4474684,SRP256305,PRJNA625101,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",75.0,2476473201.0,1043839153.0,dual species colony biofilm,GSM4474684,PA14 and CAF2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"652,611,237,561",,,,,,,,,,,,,,,,,,,,,,SAMN14592842
SRR11541090,1629,RNA-Seq,SAMN14592830,GEO,public,SRX8111323,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa,ILLUMINA,2020-04-15T00:00:00Z,GSM4474685,SRP256305,PRJNA625101,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",75.0,2505213027.0,1063916709.0,dual species colony biofilm,GSM4474685,PA14 and CAF2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"652,611,237,561",,,,,,,,,,,,,,,,,,,,,,SAMN14592830
SRR11541091,1696,RNA-Seq,SAMN14592829,GEO,public,SRX8111324,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa,ILLUMINA,2020-04-15T00:00:00Z,GSM4474686,SRP256305,PRJNA625101,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",75.0,2580637085.0,1096161420.0,dual species colony biofilm,GSM4474686,PA14 and CAF2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"652,611,237,561",,,,,,,,,,,,,,,,,,,,,,SAMN14592829
SRR11541093,1697,RNA-Seq,SAMN14592827,GEO,public,SRX8111326,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa,ILLUMINA,2020-04-15T00:00:00Z,GSM4474688,SRP256305,PRJNA625101,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",75.0,2885227187.0,1225762363.0,dual species colony biofilm,GSM4474688,PA14 and CAF2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"652,611,237,561",,,,,,,,,,,,,,,,,,,,,,SAMN14592827
SRR11614306,812,RNA-Seq,SAMN14734721,GEO,public,SRX8180522,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa PA14,ILLUMINA,2020-04-29T00:00:00Z,GSM4498831,SRP258668,PRJNA628595,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",75.0,408130807.0,178730199.0,colony biofilm,GSM4498831,PA14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,652611,,,,,,,,,,,,,,,,,,,,,,SAMN14734721
SRR11614307,813,RNA-Seq,SAMN14734720,GEO,public,SRX8180523,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Pseudomonas aeruginosa PA14,ILLUMINA,2020-04-29T00:00:00Z,GSM4498832,SRP258668,PRJNA628595,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",75.0,489652996.0,213276977.0,colony biofilm,GSM4498832,PA14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,652611,,,,,,,,,,,,,,,,,,,,,,SAMN14734720
